Author,Title,Year,Publication,DOI
"Henghes, Ben and Thiyagalingam, Jeyan and Pettitt, Connor and Hey, Tony and Lahav, Ofer","Deep learning methods for obtaining photometric redshift estimations from images","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac480"
"Marchuk, Alexander A. and Smirnov, Anton A. and Sotnikova, Natalia Y. and Bunakalya, Dmitriy A. and Savchenko, Sergey S. and Reshetnikov, Vladimir P. and Usachev, Pavel A. and Tikhonenko, Iliya S. and Zozulia, Viktor D. and Zakharova, Daria A.","B/PS bulges in DESI Legacy edge-on galaxies - I. Sample building","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac599"
"Kuns\'agi-M\'at\'e, S\'andor and Csabai, Istv\'an","Decomposition of stellar populations in CosmoDC2 galaxies using SCARLET and Deep Learning","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac215"
"Kang, Da Eun and Pellegrini, Eric W. and Ardizzone, Lynton and Klessen, Ralf S. and Koethe, Ullrich and Glover, Simon C.~O. and Ksoll, Victor F.","Emission-line diagnostics of H II regions using conditional invertible neural networks","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac222"
"Yin, Yao and Gomez, Sebastian and Berger, Edo and Hosseinzadeh, Griffin and Nicholl, Matt and Blanchard, Peter K.","Optical Observations and Modeling of the Superluminous Supernova 2018lfe","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac6183"
"Kaushal, Neerav and Villaescusa-Navarro, Francisco and Giusarma, Elena and Li, Yin and Hawry, Conner and Reyes, Mauricio","NECOLA: Toward a Universal Field-level Cosmological Emulator","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5c4a"
"Fullard, Andrew G. and O'Brien, John T. and Kerzendorf, Wolfgang E. and Shrestha, Manisha and Hoffman, Jennifer L. and Ignace, Richard and van der Smagt, Patrick","New Mass Estimates for Massive Binary Systems: A Probabilistic Approach Using Polarimetric Radiative Transfer","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac589e"
"Hu, Lei and Chen, Xingzhuo and Wang, Lifan","Spectroscopic Studies of Type Ia Supernovae Using LSTM Neural Networks","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5c48"
"Qiu, Yisheng and Kang, Xi","Starduster: A Multiwavelength SED Model Based on Radiative Transfer Simulations and Deep Learning","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac63a1"
"Hughes, Arvind C.~N. and Spitler, Lee R. and Zucker, Daniel B. and Nordlander, Thomas and Simpson, Jeffrey and da Costa, Gary S. and Ting, Yuan-Sen and Li, Chengyuan and Bland-Hawthorn, Joss and Buder, Sven and Casey, Andrew R. and de Silva, Gayandhi M. and D'Orazi, Valentina and Freeman, Ken C. and Hayden, Michael R. and Kos, Janez and Lewis, Geraint F. and Lin, Jane and Lind, Karin and Martell, Sarah L. and Schlesinger, Katharine J. and Sharma, Sanjib and Zwitter, Toma\vz and GALAH Collaboration","The GALAH Survey: A New Sample of Extremely Metal-poor Stars Using a Machine-learning Classification Algorithm","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5fa7"
"Matchev, Konstantin T. and Matcheva, Katia and Roman, Alexander","Analytical Modeling of Exoplanet Transit Spectroscopy with Dimensional Analysis and Symbolic Regression","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac610c"
"Mart\'\inez-Solaeche, G. and Gonz\'alez Delgado, R.~M. and Garc\'\ia-Benito, R. and D\'\iaz-Garc\'\ia, L.~A. and Rodr\'\iguez-Mart\'\in, J.~E. and P\'erez, E. and de Amorim, A. and Duarte Puertas, S. and Sodr\'e, L. and Sobral, D. and Chaves-Montero, J. and V\'\ilchez, J.~M. and Hern\'an-Caballero, A. and L\'opez-Sanjuan, C. and Cortesi, A. and Bonoli, S. and Cenarro, A.~J. and Dupke, R.~A. and Mar\'\in-Franch, A. and Varela, J. and V\'azquez Rami\'o, H. and Abramo, L.~R. and Crist\'obal-Hornillos, D. and Moles, M. and Alcaniz, J. and Benitez, N. and Ederoclite, A. and Marra, V. and Mendes de Oliveira, C. and Taylor, K. and Fern\'andez-Ontiveros, J.~A.","The miniJPAS survey: Identification and characterization of the emission line galaxies down to z < 0.35 in the AEGIS field","2022","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202142812"
"Schneider, P.~C. and Freund, S. and Czesla, S. and Robrade, J. and Salvato, M. and Schmitt, J.~H.~M.~M.","The eROSITA Final Equatorial-Depth Survey (eFEDS). The Stellar Counterparts of eROSITA sources identified by machine learning and Bayesian algorithms","2022","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202141133"
"Reyes, Claudia and Stello, Dennis and Hon, Marc and Zinn, Joel C.","Vetting asteroseismic \ensuremath\Delta\ensuremath\nu measurements using neural networks","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac445"
"Rastegarnia, F. and Mirtorabi, M.~T. and Moradi, R. and Vafaei Sadr, A. and Wang, Y.","Deep learning in searching the spectroscopic redshift of quasars","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac076"
"Donald-McCann, Jamie and Beutler, Florian and Koyama, Kazuya and Karamanis, Minas","MATRYOSHKA: halo model emulator for the galaxy power spectrum","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac239"
"Neutsch, Steffen and Heneka, Caroline and Br\""uggen, Marcus","Inferring astrophysics and dark matter properties from 21 cm tomography using deep learning","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac218"
"Fern\'andez, V. and Amor\'\in, R. and P\'erez-Montero, E. and Papaderos, P. and Kehrig, C. and V\'\ilchez, J.~M.","New insights on the nebular emission, ionizing radiation, and low metallicity of Green Peas from advanced modelling","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab3150"
"Smith, Michael J. and Geach, James E. and Jackson, Ryan A. and Arora, Nikhil and Stone, Connor and Courteau, St\'ephane","Realistic galaxy image simulation via score-based generative models","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac130"
"Hensley, Brandon S. and Murray, Claire E. and Dodici, Mark","Polycyclic Aromatic Hydrocarbons, Anomalous Microwave Emission, and their Connection to the Cold Neutral Medium","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5cbd"
"Dhanpal, Siddharth and Benomar, Othman and Hanasoge, Shravan and Kundu, Abhisek and Dhuri, Dattaraj and Das, Dipankar and Kaul, Bharat","Measuring Frequency and Period Separations in Red-giant Stars Using Machine Learning","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5247"
"Lu, Tianhuan and Haiman, Zolt\'an and Zorrilla Matilla, Jos\'e Manuel","Simultaneously constraining cosmology and baryonic physics via deep learning from weak lensing","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stac161"
"Sabin, L. and G\'omez-Llanos, V. and Morisset, C. and G\'omez-Gonz\'alez, V.~M.~A. and Guerrero, M.~A. and Todt, H. and Fang, X.","Catching a grown-up starfish planetary nebula - II. Plasma analysis and central star properties of PC 22","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab3649"
"Gurung-L\'opez, Siddhartha and Gronke, Max and Saito, Shun and Bonoli, Silvia and Orsi, \'Alvaro A.","zELDA: fitting Lyman alpha line profiles using deep learning","2022","Monthly Notices of the Royal Astronomical Society","https://doi.org/10.1093/mnras/stab3554"
"Kim, Changseok and Woo, Jong-Hak and Jadhav, Yashashree and Chung, Aeree and Baek, Junhyun and Lee, Jeong Ae and Shin, Jaejin and Hwang, Ho Seong and Luo, Rongxin and Son, Donghoon and Kim, HyunGi and Woo, Hyuk","Determining Star Formation Rates of Active Galactic Nucleus Host Galaxies Based on SED Fitting with Submillimeter Data","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5407"
"Villaescusa-Navarro, Francisco and Wandelt, Benjamin D. and Angl\'es-Alc\'azar, Daniel and Genel, Shy and Manuel Zorrilla Matilla, Jose and Ho, Shirley and Spergel, David N.","Neural Networks as Optimal Estimators to Marginalize Over Baryonic Effects","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac54a5"
"Sinigaglia, Francesco and Kitaura, Francisco-Shu and Balaguera-Antol\'\inez, Andr\'es and Shimizu, Ikkoh and Nagamine, Kentaro and S\'anchez-Benavente, Manuel and Ata, Metin","Mapping the Three-dimensional Ly\ensuremath\alpha Forest Large-scale Structure in Real and Redshift Space","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5112"
"Ting, Yuan-Sen and Weinberg, David H.","How Many Elements Matter?","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5023"
"Wu, John F. and Peek, J.~E.~G. and Tollerud, Erik J. and Mao, Yao-Yuan and Nadler, Ethan O. and Geha, Marla and Wechsler, Risa H. and Kallivayalil, Nitya and Weiner, Benjamin J.","Extending the SAGA Survey (xSAGA). I. Satellite Radial Profiles as a Function of Host-galaxy Properties","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac4eea"
"Morgan, R. and Nord, B. and Bechtol, K. and Gonz\'alez, S.~J. and Buckley-Geer, E. and M\""oller, A. and Park, J.~W. and Kim, A.~G. and Birrer, S. and Aguena, M. and Annis, J. and Bocquet, S. and Brooks, D. and Carnero Rosell, A. and Carrasco Kind, M. and Carretero, J. and Cawthon, R. and da Costa, L.~N. and Davis, T.~M. and De Vicente, J. and Doel, P. and Ferrero, I. and Friedel, D. and Frieman, J. and Garc\'\ia-Bellido, J. and Gatti, M. and Gaztanaga, E. and Giannini, G. and Gruen, D. and Gruendl, R.~A. and Gutierrez, G. and Hollowood, D.~L. and Honscheid, K. and James, D.~J. and Kuehn, K. and Kuropatkin, N. and Maia, M.~A.~G. and Miquel, R. and Palmese, A. and Paz-Chinch\'on, F. and Pereira, M.~E.~S. and Pieres, A. and Plazas Malag\'on, A.~A. and Reil, K. and Roodman, A. and Sanchez, E. and Smith, M. and Suchyta, E. and Swanson, M.~E.~C. and Tarle, G. and To, C.","DeepZipper: A Novel Deep-learning Architecture for Lensed Supernovae Identification","2022","The Astrophysical Journal","https://doi.org/10.3847/1538-4357/ac5178"
"R\'o\.za\'nski, T. and Niemczura, E. and Lemiesz, J. and Posi\lek, N. and R\'o\.za\'nski, P.","SUPPNet: Neural network for stellar spectrum normalisation","2022","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202141480"
"Yang, Lin and Yuan, Haibo and Xiang, Maosheng and Duan, Fuqing and Huang, Yang and Liu, Jifeng and Beers, Timothy C. and Galarza, Carlos Andr\'es and Daflon, Simone and Fern\'andez-Ontiveros, Juan Antonio and Cenarro, Javier and Crist\'obal-Hornillos, David and Hern\'andez-Monteagudo, Carlos and L\'opez-Sanjuan, Carlos and Mar\'\in-Franch, Antonio and Moles, Mariano and Varela, Jes\'us and V\'azquez Rami\'o, H\'ector and Alcaniz, Jailson and Dupke, Renato and Ederoclite, Alessandro and Sodr\'e, Laerte and Angulo, Raul E.","J-PLUS: Stellar parameters, C, N, Mg, Ca, and [\ensuremath\alpha/Fe] abundances for two million stars from DR1","2022","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202142724"
"Bluck, Asa F.~L. and Maiolino, Roberto and Brownson, Simcha and Conselice, Christopher J. and Ellison, Sara L. and Piotrowska, Joanna M. and Thorp, Mallory D.","The quenching of galaxies, bulges, and disks since cosmic noon. A machine learning approach for identifying causality in astronomical data","2022","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202142643"
"Wang, C. and Bai, Y. and L\'opez-Sanjuan, C. and Yuan, H. and Wang, S. and Liu, J. and Sobral, D. and Baqui, P.~O. and Mart\'\in, E.~L. and Andres Galarza, C. and Alcaniz, J. and Angulo, R.~E. and Cenarro, A.~J. and Crist\'obal-Hornillos, D. and Dupke, R.~A. and Ederoclite, A. and Hern\'andez-Monteagudo, C. and Mar\'\in-Franch, A. and Moles, M. and Sodr\'e, L. and V\'azquez Rami\'o, H. and Varela, J.","J-PLUS: Support vector machine applied to STAR-GALAXY-QSO classification","2022","Astronomy and Astrophysics","https://doi.org/10.1051/0004-6361/202142254"
