Author,Title,Year,Publication,DOI
"Shicheng Zhang, Xuwei Xue, Bingli Guo, Yixuan Li, Wenzhe Li, Shikui Shen, Haoze Qian, Xiaojie Yin, Buzheng Wei, Guojun Yuan, Xiongyan Tang, and Shanguo Huang",Fast-tunable Graphene-based AWGR for Deep Learning Training Networks,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3672201.3674121
Ming Fang and Jing-An Lei,Field Corn Stalk Identification Method Based on Machine Learning and Spectral Characteristics,2018,"Association for Computing Machinery, New York, NY, USA, Article 99",https://doi.org/10.1145/3207677.3277941
"Mohammed El Adoui, Thomas Herpoel, and Benoît Frénay",Constrained Tiny Machine Learning for Predicting Gas Concentration with I4,2024,"ACM Trans. Embed. Comput. Syst. 23, 3, Article 51 (May 2024), 23 pages",https://doi.org/10.1145/3590956
"Horacio Franco, Chris Cobo-Kroenke, Stephanie Welch, and Martin Graciarena",Wideband spectral monitoring using deep learning,2020,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3395352.3402620
"Salma Afifi, Febin Sunny, Amin Shafiee, Mahdi Nikdast, and Sudeep Pasricha",GHOST: A Graph Neural Network Accelerator using Silicon Photonics,2023,"Embed. Comput. Syst. 22, 5s, Article 102 (October 2023), 25 pages",https://doi.org/10.1145/3609097
"Zahra Cantiabela, Hilman F. Pardede, Vicky Zilvan, Winita Sulandari, Raden Sandra Yuwana, Ahmad Afif Supianto, and Dikdik Krisnandi",Deep Learning for Robust Speech Command Recognition Using Convolutional Neural Networks (CNN),2023,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3575882.3575902
Andi Chen,Adaptive Music Feature Decomposition Classification Model Based on CEEDAM and Deep Learning,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3689236.3696758
"Md Nakhla Rafi, Dong Jae Kim, An Ran Chen, Tse-Hsun (Peter) Chen, and Shaowei Wang",Towards Better Graph Neural Network-Based Fault Localization through Enhanced Code Representation,2024,"ACM Softw. Eng. 1, FSE, Article 86 (July 2024), 23 pages",https://doi.org/10.1145/3660793
"Xiaobin Hong, Jiangyi Hu, Taishan Xu, Xiancheng Ren, Feng Wu, Xiangkai Ma, and Wenzhong Li",MagNet: Multilevel Dynamic Wavelet Graph Neural Network for Multivariate Time Series Classification,2024,"Knowl. Discov. Data 19, 1, Article 19 (January 2025), 22 pages",https://doi.org/10.1145/3703915
"Chenhong Yan, Yang Yu, Shefeng Yan, Tianyi Yao, Changsheng Yang, Lu Liu, and Guang Pan",Underwater target recognition using a lightweight asymmetric convolutional neural network,2024,"Association for Computing Machinery, New York, NY, USA, Article 4",https://doi.org/10.1145/3631726.3632228
"Zeyu Hu, Haisong Chen, Jingfang Wei, Yunyi Zuo, Kaiyang Xu, Yuji Iwahori, Haibin Wu, and Aili Wang",Interactive Intelligent 3D Surveying Vehicle Based on Deep Learning,2024,"Association for Computing Machinery, New York, NY, USA",https://doi.org/10.1145/3638682.3638707
